id,restaurant_name,restaurant_type_id,income_percentage,city_id
1,Restaurant 1,3,7.5,3
2,Restaurant 2,5,10.0,3
3,Restaurant 3,2,7.5,4
4,Restaurant 4,4,10.0,4
5,Restaurant 5,5,5.0,2
6,Restaurant 6,1,5.0,2
7,Restaurant 7,1,10.0,4
8,Restaurant 8,2,7.5,5
9,Restaurant 9,1,7.5,4
10,Restaurant 10,4,10.0,2
11,Restaurant 11,5,7.5,4
12,Restaurant 12,5,7.5,3
13,Restaurant 13,5,7.5,3
14,Restaurant 14,1,5.0,3
15,Restaurant 15,1,10.0,4
16,Restaurant 16,1,7.5,3
17,Restaurant 17,1,5.0,2
18,Restaurant 18,3,5.0,3
19,Restaurant 19,2,10.0,2
20,Restaurant 20,1,7.5,2
21,Restaurant 21,2,5.0,1
22,Restaurant 22,1,7.5,5
23,Restaurant 23,1,10.0,1
24,Restaurant 24,3,5.0,1
25,Restaurant 25,3,10.0,4
26,Restaurant 26,2,7.5,1
27,Restaurant 27,5,10.0,4
28,Restaurant 28,2,10.0,1
29,Restaurant 29,2,5.0,5
30,Restaurant 30,4,7.5,1
